P/N,Model,Capacity,Color,Product Code Type,Is Naked Device (SM-),Is Pass F (F-),Baseline RRP,Allowed Sale Modes,Source Sheet,Source Row,Col G / Discount Amount,Discount Nature,Exact P/N in Source Row,F-NS971BLVGTHL SF+ Status,Audit Decision,Error Codes
SM-F971BZKDTHL,Galaxy Z Fold 8 12/256GB,256GB,Graphite,STANDARD_SM,TRUE,FALSE,61900.0,NORMAL,Promotion,128,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BZWDTHL,Galaxy Z Fold 8 12/256GB,256GB,Cream,STANDARD_SM,TRUE,FALSE,61900.0,NORMAL,Promotion,129,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BLVGTHL,Galaxy Z Fold 8 12/512GB,512GB,Lavender,STANDARD_SM,TRUE,FALSE,69900.0,NORMAL,Promotion,130,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BZKGTHL,Galaxy Z Fold 8 12/512GB,512GB,Graphite,STANDARD_SM,TRUE,FALSE,69900.0,NORMAL,Promotion,131,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BZWGTHL,Galaxy Z Fold 8 12/512GB,512GB,Cream,STANDARD_SM,TRUE,FALSE,69900.0,NORMAL,Promotion,132,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BLVHTHL,Galaxy Z Fold 8 16/1TB,1TB,Lavender,STANDARD_SM,TRUE,FALSE,85900.0,NORMAL,Promotion,133,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BZKHTHL,Galaxy Z Fold 8 16/1TB,1TB,Graphite,STANDARD_SM,TRUE,FALSE,85900.0,NORMAL,Promotion,134,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F971BZWHTHL,Galaxy Z Fold 8 16/1TB,1TB,Cream,STANDARD_SM,TRUE,FALSE,85900.0,NORMAL,Promotion,135,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
F-NS976BZKDTHL,Galaxy Z Fold 8 Ultra 12/256GB  รหัส F,256GB,Graphite,PASS_F,FALSE,TRUE,69900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,136,1000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZVDTHL,Galaxy Z Fold 8 Ultra 12/256GB  รหัส F,256GB,Violet shadow,PASS_F,FALSE,TRUE,69900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,137,1000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZWDTHL,Galaxy Z Fold 8 Ultra 12/256GB  รหัส F,256GB,Cream,PASS_F,FALSE,TRUE,69900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,138,1000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZKGTHL,Galaxy Z Fold 8 Ultra 12/512GB  รหัส F,512GB,Graphite,PASS_F,FALSE,TRUE,77900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,139,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZVGTHL,Galaxy Z Fold 8 Ultra 12/512GB  รหัส F,512GB,Violet shadow,PASS_F,FALSE,TRUE,77900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,140,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZWGTHL,Galaxy Z Fold 8 Ultra 12/512GB  รหัส F,512GB,Cream,PASS_F,FALSE,TRUE,77900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,141,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZKHTHL,Galaxy Z Fold 8 Ultra 16/1TB  รหัส F,1TB,Graphite,PASS_F,FALSE,TRUE,93900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,142,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZVHTHL,Galaxy Z Fold 8 Ultra 16/1TB  รหัส F,1TB,Violet shadow,PASS_F,FALSE,TRUE,93900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,143,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS976BZWHTHL,Galaxy Z Fold 8 Ultra 16/1TB  รหัส F,1TB,Cream,PASS_F,FALSE,TRUE,93900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,144,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
SM-F976BZKDTHL,Galaxy Z Fold 8 Ultra 12/256GB,256GB,Graphite,STANDARD_SM,TRUE,FALSE,69900.0,NORMAL,Promotion,145,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZVDTHL,Galaxy Z Fold 8 Ultra 12/256GB,256GB,Violet shadow,STANDARD_SM,TRUE,FALSE,69900.0,NORMAL,Promotion,146,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZWDTHL,Galaxy Z Fold 8 Ultra 12/256GB,256GB,Cream,STANDARD_SM,TRUE,FALSE,69900.0,NORMAL,Promotion,147,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZKGTHL,Galaxy Z Fold 8 Ultra 12/512GB,512GB,Graphite,STANDARD_SM,TRUE,FALSE,77900.0,NORMAL,Promotion,148,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZVGTHL,Galaxy Z Fold 8 Ultra 12/512GB,512GB,Violet shadow,STANDARD_SM,TRUE,FALSE,77900.0,NORMAL,Promotion,149,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZWGTHL,Galaxy Z Fold 8 Ultra 12/512GB,512GB,Cream,STANDARD_SM,TRUE,FALSE,77900.0,NORMAL,Promotion,150,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZKHTHL,Galaxy Z Fold 8 Ultra 16/1TB,1TB,Graphite,STANDARD_SM,TRUE,FALSE,93900.0,NORMAL,Promotion,151,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZVHTHL,Galaxy Z Fold 8 Ultra 16/1TB,1TB,Violet shadow,STANDARD_SM,TRUE,FALSE,93900.0,NORMAL,Promotion,152,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
SM-F976BZWHTHL,Galaxy Z Fold 8 Ultra 16/1TB,1TB,Cream,STANDARD_SM,TRUE,FALSE,93900.0,NORMAL,Promotion,153,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
